tão tão
estadual estadual
meu meu
chapa chapa
como como
é ser
que que
é ser
isso isso
aí aí
não não
vota votar
nisso em_isso
aí aí
não não
manda mandar
chumbo chumbo
grosso grosso
nesse em_esse
negócio negócio
aí aí
Aí aí
ligo ligar
para para
o o
vereador vereador
que que
nós nós
temos ter
aqui aqui
ou ou
então então
eles eles
me eu
consultam consultar
Pastor pastor
tem ter
uma um
questão questão
aqui aqui
com com
a o
sua seu
opinião opinião
como como
é ser
que que
é ser
isso isso
essa esse
questão questão
para para
valer valer
os o
nossos nosso
princípios princípio
crenças crença
e e
valores valor
eu eu
vou ir
terminar terminar
com com
a o
minha meu
conclusão conclusão
dizendo dizer
que que
temos ter
que que
fazer fazer
primeiro primeiro
lugar lugar
exercer exercer
a o
nossa nosso
cidadania cidadania
você você
sabe saber
o o
que que
que que
é ser
o o
voto voto
o o
voto voto
meu meu
irmão irmão
escute escutar
isso isso
para para
você você
poder poder
entender entender
o o
voto voto
é ser
a o
expressão expressão
da de_o
sua seu
confiança confiança
em em
um um
político político
se se
ele ele
não não
corresponder corresponder
na em_o
outra outro
eleição eleição
você você
não não
vota votar
nele em_ele
vota votar
em em
outro outro
não não
adianta adiantar
você você
anular anular
voto voto
não não
adianta adiantar
você você
botar botar
voto voto
em em
branco branco
nem nem
votar votar
porque porque
você você
querendo querer
ou ou
não não
outros outro
vão ir
fazer fazer
valer valer
a o
sua seu
vontade vontade
porque porque
você você
senhor senhor
mentiu mentir
e e
a o
turma turma
que que
é ser
contra contra
nossos nosso
princípios princípio
e e
valores valor
vão ir
voltar voltar
eu eu
garanto garantir
para para
vocês você
agora agora
escute escutar
que que
eu eu
vou ir
te tu
dizer dizer
estou estar
encerrando encerrar
nós nós
podemos poder
usar usar
a o
arma arma
mais mais
poderosa poderoso
que que
nós nós
temos ter
além além
da de_o
arma arma
da de_o
Cidadania cidadania
que que
é ser
o o
voto voto
O o
Poder poder
da de_o
Oração oração
o o
que que
que que
Paulo paulo
diz dizer
eu eu
canto cantar
a o
pedra pedra
que que
canso cansar
de de
falar falar
para para
vocês você
que que
que que
Paulo paulo
diz dizer
em em
Primeira primeira
Timóteo timóteo
Capítulo capítulo
2 2
antes antes
de de
tudo tudo
que que
se se
façam fazer
orações oração
interseções interseção
pelos por_o
homens homem
que que
estão estar
em em
eminência eminência
para para
que que
tenhamos ter
uma um
vida vida
quieta quieto
e e
sossegada sossegar
porque porque
isso isso
é ser
bom bom
e e
agradável agradável
ao a_o
senhor senhor
meu meu
irmão irmão
nós nós
temos ter
uma um
arma arma
o o
poder poder
da de_o
oração oração
que que
trava travar
demônios demônio
que que
trava travar
no em_o
mundo mundo
espiritual espiritual
que que
libera liberar
a o
benção benção
que que
abre abrir
portas porta
nós nós
temos ter
uma um
igreja igreja
poderosa poderoso
no em_o
Brasil brasil
de de
mais mais
de de
60 60
milhões milhão
de de
pessoas pessoa
temos ter
que que
orar orar
pela por_o
nossa nosso
nação nação
senhor senhor
livra livrar
Nossa nosso
nação nação
de de
corruptos corrupto
senhor senhor
coloca colocar
homem homem
sábios sábio
nos em_o
postos posto
Chaves chaves
levanta levantar
homens homem
para para
desmantelar desmantelar
o o
poder poder
do de_o
narcotráfico narcotráfico
e e
do de_o
lixo lixo
moral moral
Deus deus
tem ter
misericórdia misericórdia
do de_o
Brasil brasil
livra livrar
o o
nosso nosso
país país
de de
homens homem
maus mau
livra livrar
o o
nosso nosso
país país
daqueles de_aquele
que que
saquearam saquear
a o
nossa nosso
nação nação
meu meu
irmão irmão
nós nós
temos ter
uma um
arma arma
que que
ninguém ninguém
tem ter
que que
a o
oração oração
você você
tá estar
orando orar
você você
tá estar
clamando clamar
você você
tá estar
falando falar
com com
Deus deus
você você
acha achar
que que
se se
uma um
nação nação
for ser
para para
o o
brejo brejo
não não
vai ir
te tu
atingir atingir
você você
acha achar
que que
se se
tiver ter
desemprego desemprego
você você
vai ir
ficar ficar
empregado empregar
porque porque
você você
é ser
crente crente
tudo tudo
sucede suceder
igualmente igualmente
a a
todos todo
diz dizer
a o
bíblia bíblia
diz dizer
a o
bíblia bíblia
que que
no em_o
Novo novo
Testamento testamento
Mateus mateus
5:45 @card@
Deus deus
que que
faz fazer
o o
sol sol
se se
levantar levantar
sobre sobre
bons bom
e e
maus mau
e e
chuva chuva
descer descer
sobre sobre
justos justo
injustos injusto
e e
Eclesiastes eclesiastes
9 9
diz dizer
que que
tudo tudo
sucesso sucesso
igualmente igualmente
a a
todos todo
se se
uma um
nação nação
tiver ter
prosperidade prosperidade
você você
tem ter
prosperidade prosperidade
se se
uma um
nação nação
tiver ter
fome fome
e e
caso caso
você você
tem ter
quer quer
ver ver
a o
igreja igreja
da de_o
Venezuela venezuela
você você
quer querer
notícia notícia
de de
lá lá
você você
quer querer
você você
quer querer
notícia notícia
da de_o
Venezuela venezuela
de de
igrejas igreja
fechadas fechar
de de
crentes crente
passando passar
fome fome
o o
venezuelanos venezuelano
que que
chegam chegar
no em_o
Brasil brasil
600 600
por por
dia dia
pesam pesar
em em
média média
15 15
Kg kg
a a
menos menos
não não
tem ter
mais muito
cachorro cachorro
e e
gato gato
vivo vivo
na em_o
Venezuela venezuela
já já
foi ser
tudo tudo
jantar jantar
e e
almoçar almoçar
a o
gente gente
tá estar
rindo rir
não não
tem ter
vai ir
lá lá
é ser
o o
caos caos
vai ir
ver ver
o o
caos caos
do de_o
socialismo socialismo
desgraçado desgraçado
vai ir
ver ver
aonde aonde
tá estar
Argentina argentina
onde onde
é ser
que que
eles eles
estão estar
entrando entrar
com com
a o
esquerda esquerda
nojenta nojento
que que
ganhou ganhar
a o
eleição eleição
lá lá
vai ir
ver ver
vai ir
ver ver
agora agora
onde onde
vai ir
entrar entrar
a o
Colômbia colômbia
eu eu
tava tava
na em_o
ONU onu
quando quando
desgraçado desgraçar
do de_o
presidente presidente
da de_o
Colômbia colômbia
vem vir
querer querer
dizer dizer
que que
o o
carbono carbono
o o
petróleo petróleo
faz fazer
mais mais
mal mal
do de_o
que que
a o
cocaína cocaína
pregando pregar
na em_o
maior grande
cara cara
de de
pau pau
a o
liberação liberação
de de
cocaína cocaína
porque porque
o o
castelo castelo
do de_o
tráfico tráfico
de de
drogas droga
é ser
bilionário bilionário
e e
comanda comandar
a o
Colômbia colômbia
vai ir
ver ver
o o
Chile chile
que que
era ser
a o
nação nação
pungente pungente
que que
foi ser
para para
a o
mão mão
dessa de_esse
cambada cambar
de de
esquerdopata esquerdopata
a o
ladeira ladeira
que que
tão tão
descendo descender
a o
Venezuela venezuela
que que
era ser
um um
país país
Próspero próspero
e e
abençoado abençoar
você você
acha achar
que que
não não
vai ir
chegar chegar
não não
você você
acha achar
que que
você você
tá estar
imune imune
eu eu
termino terminar
dizendo dizer
eu eu
sou ser
uma um
voz voz
Profética profético
aqui aqui
nessa em_esse
nação nação
e e
você você
sabe saber
muito muito
bem bem
que que
Deus deus
tem ter
me eu
levantado levantar
eu eu
tô tô
dando dar
um um
alerta alerta
a a
igreja igreja
depois depois
não não
reclamem reclamar
ou ou
vocês você
acham achar
que que
eu eu
tenho ter
paixão paixão
por por
algum algum
homem homem
eu eu
tenho ter
paixão paixão
pela por_o
minha meu
mulher mulher
não não
tem ter
paixão paixão
por por
homem homem
nenhum nenhum
eu eu
tenho ter
paixão paixão
por por
homem homem
eu eu
tenho ter
paixão paixão
política político
eu eu
sou ser
vinculado vincular
a a
partir partir
de de
político político
eu eu
já já
votei votar
na em_o
esquerda esquerda
em em
2002 2002
acreditando acreditar
que que
eles eles
iam ir
resgatar resgatar
o o
país país
Já já
botei botar
porque porque
eu eu
não não
tenho ter
cor cor
partidária partidário
depois depois
que que
eu eu
comecei começar
a a
ver ver
o o
discurso discurso
e e
a o
prática prática
que que
era ser
diferente diferente
falei falar
tô tô
fora fora
chega chegar
quem quem
não não
erra errar
já já
botei botar
errado errar
já já
e e
daí de_aí
e e
por por
causa causa
disso de_isso
não não
vou ir
tentar tentar
consertar consertar
Ah ah
eu eu
vou ir
ter ter
aqui aqui
no em_o
candidato candidato
um um
porcaria porcaria
um um
ladrão ladrão
safado safado
Ok ok
não não
volta voltar
mais mais
nele em_ele
Eu eu
também também
já já
botei botar
gente gente
escute escutar
eu eu
vou ir
ter ter
aqui aqui
no em_o
estado estado
do de_o
Rio rio
um um
cara cara
que que
era ser
considerado considerar
o o
exemplo exemplo
do de_o
anticorrupção anticorrupção
Esse esse
eu eu
posso poder
citar citar
o o
nome nome
talvez talvez
muita muito
garotada garotar
que que
tá estar
aí aí
não não
tem ter
ideia ideia
ele ele
era ser
o o
exemplo exemplo
do de_o
cara cara
que que
combateu combater
nepotismo nepotismo
que que
combateu combater
corrupção corrupção
que que
combateu combater
salário salário
alto alto
ele ele
era ser
o o
exemplo exemplo
tanto tanto
é ser
que que
ganhou ganhar
a o
primeira primeiro
e e
na em_o
reeleição reeleição
não não
teve ter
disputa disputa
para para
ninguém ninguém
foi ser
tão tão
fácil fácil
o o
passeio passeio
que que
ele ele
deu dar
na em_o
reeleição reeleição
que que
não não
teve ter
sabe saber
qual qual
o o
nome nome
dele de_ele
Sérgio sérgio
Cabral cabral
que que
foi ser
presidente presidente
da de_o
Assembleia assembleia
Legislativa legislativa
do de_o
Estado estado
exemplo exemplo
de de
correção correção
exemplo exemplo
de de
cuidado cuidado
com com
a o
coisa coisa
pública público
exemplo exemplo
do de_o
cara cara
que que
combate combater
e e
tava tava
metido meter
numa em_um
lama lama
que que
tá estar
na em_o
cadeira cadeira
não não
sei saber
quantos quanto
anos ano
eu eu
vou ir
até até
nesse em_esse
cara cara
acreditando acreditar
Ah ah
tá estar
eu eu
errei errar
nunca nunca
mais mais
vou ir
votar votar
conversa conversa
não não
é ser
Instituto instituto
de de
Pesquisa pesquisa
que que
elege eleger
é ser
o o
teu teu
voto voto
que que
elege eleger
deixa deixar
eu eu
falar falar
a o
última último
coisa coisa
que que
muitos muito
de de
vocês você
não não
sabem saber
nos em_o
últimos último
20 20
anos ano
escute escutar
o o
que que
é ser
que que
eu eu
falei falar
nos em_o
últimos último
20 20
anos ano
todos todo
os o
institutos instituto
de de
pesquisa pesquisa
erraram errar
a o
quantidade quantidade
de de
votos voto
válidos válido
do de_o
primeiro primeiro
turno turno
todos todo
erraram errar
nos em_o
últimos último
20 20
anos ano
nós nós
acertar acertar
uma um
eleição eleição
que que
acreditar acreditar
neles em_ele
é ser
um um
jogo jogo
de de
manipulação manipulação
dos de_o
mais muito
vergonhosos vergonhoso
Eu eu
nunca nunca
vi ver
uma um
imprensa imprensa
tão tão
ativista ativista
política política
como como
agora agora
porque porque
perderam perder
mais mais
de de
um um
bilhão bilhão
de de
verbas verba
públicas público
meu meu
irmão irmão
a a
decisão decisão
é ser
sua seu
pastor pastor
não não
é ser
dono dono
do de_o
seu seu
voto voto
nem nem
ninguém ninguém
é ser
dono dono
do de_o
seu seu
voto voto
o o
voto voto
é ser
a o
expressão expressão
da de_o
sua seu
cidadania cidadania
mas mas
por por
favor favor
vote votar
baseado basear
em em
suas seu
crenças crença
valores valor
fundamentos fundamento
e e
princípios princípio
Que que
Deus deus
abençoe abençoar
o o
Brasil brasil
Que que
Deus deus
tenha ter
misericórdia misericórdia
da de_o
nossa nosso
nação nação
que que
vem vir
um um
tempo tempo
de de
benção benção
e e
prosperidade prosperidade
para para
o o
povo povo
brasileiro brasileiro
que que
Deus deus
nos em_o
livre livre
de de
fraude fraude
nessa em_esse
eleição eleição
que que
Deus deus
nos em_o
livre livre
de de
homens homem
corruptos corrupto
nessa em_esse
eleição eleição
e e
que que
o o
melhor bom
aconteça acontecer
a o
igreja igreja
de de
pé pé
por por
favor favor
eu eu
fiz fazer
uma um
declaração declaração
diante diante
de de
mais mais
de de
100 100
mil mil
pessoas pessoa
na em_o
Apoteose apoteose
na em_o
marcha marcha
para para
Jesus jesus
Deus deus
colocou colocar
no em_o
meu meu
coração coração
eu eu
fiz fazer
uma um
declaração declaração
eu eu
disse dizer
Senhor senhor
se se
tentarem tentar
fraudar fraudar
essa esse
eleição eleição
em em
nome nome
de de
Jesus jesus
Esse esse
sistema sistema
de de
contabilização contabilização
de de
votos voto
Vai ir
ser ser
todo todo
travado travar
por por
pelo por_o
menos menos
umas um
8 8
horas hora
meu meu
irmão irmão
se se
esse esse
sistema sistema
for ser
travado travar
por por
pelo por_o
menos menos
umas um
8 8
horas hora
beijo beijo
e e
um um
abraço abraço
vai ir
ter ter
que que
ter ter
outra outro
eleição eleição
porque porque
em em
2020 @card@
o o
sistema sistema
ficou ficar
travado travar
por por
quatro quatro
horas hora
mas mas
como como
era ser
uma um
eleição eleição
que que
não não
tinha ter
tanta tanto
importância importância
deixaram deixar
para para
lá lá
então então
a a
minha meu
oração oração
é ser
essa esse
que que
a o
vontade vontade
soberana soberano
do de_o
povo povo
seja ser
feita fazer
Não não
interessa interessar
se se
eu eu
gosto gostar
ou ou
não não
gosto gostar
de de
alguém alguém
mas mas
a o
vontade vontade
mesmo mesmo
que que
seja ser
errado errar
a o
vontade vontade
soberana soberano
do de_o
povo povo
tem ter
que que
estabelecer estabelecer
então então
a o
minha meu
oração oração
é ser
essa esse
Senhor senhor
e e
disse dizer
lá lá
na em_o
Apoteose apoteose
vocês você
estavam estar
lá lá
grande grande
parte parte
aqui aqui
se se
tentarem tentar
não não
tô tô
acusando acusar
aqui aqui
por por
favor favor
não não
sou ser
leviano leviano
eu eu
não não
tô tô
acusando acusar
autoridades autoridade
do de_o
Supremo supremo
Tribunal tribunal
Federal federal
além além
do de_o
Tribunal tribunal
Superior superior
Eleitoral eleitoral
que que
isso isso
transcende transcender
eles eles
se se
hacker hacker
invadem invadir
o o
sistema sistema
mais mais
seguro seguro
do de_o
mundo mundo
que que
é ser
o o
pentágono pentágono
americano americano
porque porque
não não
pode poder
invadir invadir
eu eu
não não
tô tô
fazendo fazer
acusação acusação
contra contra
autoridades autoridade
Eu eu
estou estar
fazendo fazer
uma um
constatação constatação
do de_o
que que
é ser
possível possível
então então
ore orar
nesse em_esse
Senhor senhor
se se
tentarem tentar
fraudar fraudar
essa esse
eleição eleição
esse esse
sistema sistema
vai ir
ser ser
travado travar
ninguém ninguém
vai ir
conseguir conseguir
destravar destravar
por por
pelo por_o
menos menos
umas um
8 8
horas hora
Essa esse
é ser
minha meu
oração oração
vamos ir
orar orar
faça fazer
sua seu
oração oração
pelo por_o
Brasil brasil
eu eu
vou ir
fazer fazer
a o
minha meu
oração oração
e e
no em_o
final final
vou ir
pedir pedir
uma um
declaração declaração
porque porque
o o
que que
a o
igreja igreja
liga ligar
na em_o
terra terra
ligado ligar
no em_o
céu céu
vamos ir
orar orar
senhor senhor
nós nós
somos ser
a o
tua tua
igreja igreja
nós nós
amamos amar
a a
nossa nosso
nação nação
aquele aquele
da de_o
Pátria pátria
Brasileira brasileira
de de
um um
povo povo
Pacífico pacífico
uma um
terra terra
tão tão
abençoada abençoar
com com
tanta tanto
riqueza riqueza
senhor senhor
como como
igreja igreja
nós nós
clamamos clamar
livro livro
O o
Brasil brasil
de de
corruptos corrupto
coloca colocar
homem homem
sérios sério
capazes capaz
nos em_o
postos posto
chaves chave
da de_o
nação nação
para para
desbaratar desbaratar
narcotráfico narcotráfico
crime crime
organizado organizar
corrupção corrupção
que que
vem vir
o o
tempos tempo
de de
paz paz
e e
de de
prosperidade prosperidade
sobre sobre
a o
nação nação
brasileira brasileiro
portas porta
de de
empregos emprego
como como
nunca nunca
riqueza riqueza
sendo ser
produzida produzir
como como
nunca nunca
Haja haver
Paz paz
Haja haver
Paz paz
no em_o
Brasil brasil
eu eu
concordo concordar
com com
a o
oração oração
de de
cada cada
um um
dos de_o
teus teu
filhos filho
senhor senhor
não não
permita permitir
que que
essas esse
eleições eleição
sejam ser
fraudadas fraudar
meu meu
Deus deus
que que
a o
vontade vontade
soberana soberano
do de_o
povo povo
se se
Estabeleça estabelecer
E e
se se
alguém alguém
tentar tentar
fraudar fraudar
nós nós
declaramos declarar
em em
nome nome
de de
Jesus jesus
que que
esse esse
sistema sistema
vai ir
ser ser
travado travar
e e
que que
não não
vai ir
ter ter
homem homem
que que
vai ir
conseguir conseguir
isso isso
não não
vai ir
ter ter
homem homem
que que
vai ir
destravar destravar
por por
um um
longo longo
período período
de de
tempo tempo
nós nós
pedimos pedir
abençoa abençoar
os o
governadores governador
prefeitos prefeito
Presidente presidente
da de_o
República república
Ministro ministro
de de
estados estar
membros membro
do de_o
executivo executivo
legislativos legislativo
do de_o
Judiciário judiciário
abençoa abençoar
a o
nossa nosso
nação nação
cada cada
família família
cada cada
casa casa
cada cada
estado estado
e e
nós nós
declaramos declarar
que que
o o
Brasil brasil
é é
do de_o
Senhor senhor
Jesus jesus
Repita repetir
comigo com_eu
o o
Brasil brasil
é é
do de_o
Senhor senhor
Jesus jesus
mais mais
uma um
vez vez
o o
Brasil brasil
amém amém
antes antes
de de
cortar cortar
a o
transmissão transmissão
a o
santa santo
ceia ceia
foi ser
transferida transferir
para para
o o
dia dia
9 9
porque porque
dia dia
2 2
domingo domingo
que que
vem vir
as o
eleições eleição
não não
vamos ir
ter ter
a o
ceia ceia
a o
ceia ceia
vai ir
ser ser
no em_o
outro outro
domingo domingo
dia dia
9 9
Ok ok
domingo domingo
culto culto
normal normal
escola escola
dominical dominical
e e
culto culto
à a_o
noite noite
tudo tudo
normal normal
mas mas
a o
Santa santa
Ceia cear
fica ficar
para para
o o
outro outro
domingo domingo
Deus deus
abençoe abençoar
cada cada
irmão irmão
que que
tá estar
recebendo receber
a o
transmissão transmissão
cada cada
igreja igreja
Deus deus
abençoe abençoar
a a
todos todo
em em
nome nome
de de
Jesus jesus
pode poder
dar dar
uma um
cláusula cláusula
ao a_o
Senhor senhor
