salmo salmo
encontro encontro
pessoal pessoal
e e
verdadeiro verdadeiro
com com
ele ele
ele ele
quer querer
se se
manifestar manifestar
a a
você você
que que
é ser
uma um
coisa coisa
linda lindo
de de
deus deus
é ser
que que
deus deus
não não
trabalha trabalhar
no em_o
atacado atacado
deus deus
trabalha trabalhar
no em_o
varejo varejo
um um
trabalho trabalho
no em_o
atacado atacado
é ser
deus deus
é ser
tão tão
grande grande
tão tão
tremenda tremendo
e e
tão tão
poderoso poderoso
que que
ele ele
quer querer
se se
relacionar relacionar
e e
individualmente individualmente
com com
as o
pessoas pessoa
têm ter
coisas coisa
de de
deus deus
que que
é ser
só só
pra pra
você você
não não
é ser
pra pra
mim eu
e e
não não
é ser
pra pra
ninguém ninguém
é ser
só só
pra pra
você você
que que
deus deus
trata tratar
assim assim
porque porque
ele ele
fez fazer
indivíduos indivíduo
sabe saber
o o
que que
significa significar
ser ser
um um
indivíduo indivíduo
a o
qualidade qualidade
ser ser
único único
e e
insubstituível insubstituível
incomparável incomparável
inconfundível inconfundível
só só
tem ter
você você
no em_o
planeta planeta
terra terra
roxa roxa
é ser
um um
indivíduo indivíduo
e e
deus deus
trata tratar
com com
as o
individualidades individualidade
deus deus
quer querer
se se
manifestar manifestar
você você
deus deus
quer querer
perdoar perdoar
os o
pecados pecado
que que
atire atirar
libertar libertar
cara cara
de de
salvar salvar
a a
mudar mudar
sua seu
história história
mas mas
ele ele
só só
faz fazer
isso isso
se se
você você
quiser querer
ele ele
até até
com com
vida vida
mas mas
a o
decisão decisão
é ser
sua seu
e e
a o
única único
coisa coisa
que que
a o
igreja igreja
faz fazer
em em
interceder interceder
portanto portanto
nessa em_esse
hora hora
eu eu
não não
estou estar
fazendo fazer
o o
convite convite
para para
algum algum
crente crente
que que
tem ter
algum algum
problema problema
e e
você você
vem vir
aqui aqui
à a_o
frente frente
pode poder
ficar ficar
no em_o
seu seu
lugar lugar
eu eu
também também
estou estar
convidando convidar
a a
um um
crente crente
que que
acha achar
que que
está estar
meio meio
fraco fraco
é ser
melhorar melhorar
é ser
a o
vida vida
vai ir
orar orar
jovem jovem
da de_o
igreja igreja
evangelizar evangelizar
vai ir
virar virar
uma um
bala bala
também também
estou estar
chamando chamar
você você
aqui aqui
na em_o
frente frente
mas mas
eu eu
quero querer
chamar chamar
você você
que que
está estar
afastado afastar
do de_o
evangelho evangelho
precisa precisar
voltar voltar
pra pra
jesus jesus
eu eu
quero querer
chamar chamar
você você
quer querer
ter ter
um um
encontro encontro
pessoal pessoal
real real
vivo vivo
e e
poderoso poderoso
com com
ele ele
e e
aí aí
eu eu
quero querer
nada nada
com com
você você
se se
tem ter
alguém alguém
aqui aqui
que que
quer querer
voltar voltar
pra pra
cristo cristo
ou ou
alguém alguém
que que
nunca nunca
teve ter
a o
experiência experiência
do de_o
encontro encontro
pessoal pessoal
e e
em em
nome nome
de de
jesus jesus
não não
tenha ter
vergonha vergonha
nem nem
medo medo
pode poder
pedir pedir
licença licença
é ser
que que
o o
pessoal pessoal
vai ir
sair sair
da de_o
frente frente
é ser
onde onde
você você
está estar
na em_o
bancada bancada
vem vir
aqui aqui
a o
frente frente
quer querer
morar morar
por por
você você
eu eu
quero querer
você você
pode poder
vir vir
deixa deixar
da de_o
galeria galeria
meu meu
filho filho
filha filha
vem vir
a o
bíblia bíblia
diz dizer
que que
o o
salário salário
do de_o
pecado pecado
é ser
a o
morte morte
mas mas
o o
dom dom
gratuito gratuito
de de
deus deus
é ser
a o
salvação salvação
ou ou
a o
vida vida
eterna eterno
por por
nosso nosso
senhor senhor
jesus jesus
cristo cristo
o o
filho filho
você você
não não
trata tratar
de de
religião religião
nossa nosso
missão missão
de de
jesus jesus
está estar
pensando pensar
em em
entregar entregar
sua seu
vida vida
aí aí
aleluia aleluiar
tá estar
faltando faltar
você você
venha vir
essa esse
voz voz
que que
está estar
no em_o
seu seu
coração coração
não não
é ser
a o
minha meu
voz voz
é ser
o o
espírito espírito
santo santo
eu eu
não não
vim vir
aqui aqui
te tu
acusar acusar
de de
nada nada
eu eu
não não
vim vir
aqui aqui
apontar apontar
nada nada
eu eu
vim vir
aqui aqui
dizer dizer
que que
é ser
um um
deus deus
tão tão
tremendo tremendo
tão tão
maravilhoso maravilhoso
que que
cuidar cuidar
de de
você você
e e
quer querer
perdoar perdoar
os o
pecados pecado
que que
quer querer
que que
restaurará restaurar
que que
quer querer
te tu
levantar levantar
o o
deus deus
que que
está estar
no em_o
controle controle
permite permitir
você você
escrever escrever
a o
história história
que que
coisa coisa
linda lindo
por por
isso isso
que que
deus deus
quis querer
assim assim
filho filho
meu meu
dá dar
me eu
o o
teu teu
coração coração
ã ã
o o
deus deus
todo todo
poderoso poderoso
perde perder
o o
coração coração
do de_o
homem homem
porque porque
ele ele
respeita respeitar
o o
seu seu
livre livre
arbítrio arbítrio
o o
seu seu
poder poder
de de
decisão decisão
e e
lhe ele
pede pedir
conta conta
da de_o
sua seu
decisão decisão
é ser
verdade verdade
que que
está estar
faltando faltar
pra pra
você você
voltar voltar
pra pra
jesus jesus
que que
está estar
faltando faltar
que que
você você
acompanha acompanhar
tanto tanto
a o
tua tua
família família
e e
você você
tem ter
uma um
resistência resistência
terrível terrível
se se
quer querer
provar provar
o o
quê quê
e e
para para
quem quem
olha olhar
fica ficar
tranquilo tranquilo
que que
ninguém ninguém
da de_o
tua tua
casa casa
me eu
falou falar
nada nada
mas mas
o o
espírito espírito
santo santo
está estar
aqui aqui
o o
deus deus
da de_o
revelação revelação
está estar
aqui aqui
eu eu
não não
sei saber
nem nem
quem quem
é ser
você você
mas mas
deus deus
sabe saber
como como
com com
essa esse
palavra palavra
que que
na em_o
minha meu
boca boca
por por
que que
tanta tanto
resistência resistência
rapaz rapaz
você você
sabe saber
que que
tem ter
uma um
palavra palavra
na em_o
bíblia bíblia
sobre sobre
tímidos tímido
é ser
uma um
palavra palavra
interessante interessante
essa esse
quem quem
é ser
que que
vai ir
ser ser
lançado lançar
no em_o
inferno inferno
tímidos tímido
que que
é ser
time time
do de_o
temperamento temperamento
não não
pessoas pessoa
que que
conhecem conhecer
o o
evangelho evangelho
pessoas pessoa
que que
sabem saber
da de_o
verdade verdade
mas mas
não não
se se
decidem decidir
por por
ela ela
sabe saber
tudo tudo
conhece conhecer
tudo tudo
até até
canto canto
de de
louvor louvor
da de_o
igreja igreja
vem vir
pra pra
culto culto
gosta gostar
pastor pastor
guarda guardar
o o
senhor senhor
por por
enquanto enquanto
cada cada
aeroporto aeroporto
o o
pastor pastor
chegou chegar
um um
palavrão palavrão
eu eu
não não
posso poder
repetir repetir
continuar continuar
pastor pastor
sérgio sérgio
olha olhar
não não
estou estar
por por
aí aí
pela por_o
vida vida
pela por_o
vida vida
meu meu
filho filho
não não
tem ter
concurso concurso
aqui aqui
se se
você você
gosta gostar
ou ou
não não
da de_o
minha meu
palavra palavra
o o
que que
está estar
em em
jogo jogo
é ser
a o
sua seu
vida vida
a a
sua seu
eternidade eternidade
está estar
em em
jogo jogo
o o
que que
está estar
em em
jogo jogo
é ser
a a
minha meu
sua seu
eternidade eternidade
ea ea
decisão decisão
que que
eu eu
tenho ter
que que
tomar tomar
um um
minuto minuto
eu eu
vou ir
morar morar
aqui aqui
por por
essas esse
pessoas pessoa
só só
quero querer
te tu
dizer dizer
uma um
palavra palavra
que que
não não
se se
assusta assustar
não não
quer querer
dizer dizer
pra pra
você você
que que
eu eu
vou ir
deixar deixar
isso isso
passar passar
nunca nunca
diga dizer
que que
deus deus
não não
te tu
deu dar
uma um
oportunidade oportunidade
que que
está estar
te tu
dando dar
hoje hoje
aqui aqui
se se
ele ele
vai ir
te tu
dar dar
outro outro
não não
sei saber
eu eu
não não
sou ser
deus deus
mas mas
eu eu
garanto garantir
que que
ele ele
está estar
te tu
dando dar
agora agora
e e
que que
você você
podia poder
estar estar
em em
qualquer qualquer
outro outro
lugar lugar
e e
aqui aqui
o o
próprio próprio
deus deus
sem sem
você você
perceber perceber
proporcionou proporcionar
que que
você você
chegasse chegar
até até
aqui aqui
ele ele
está estar
de de
braços braço
abertos aberto
esperando esperar
a o
tua tua
decisão decisão
ele ele
quer querer
te tu
ajudar ajudar
ele ele
quer querer
te tu
abençoar abençoar
ele ele
quer querer
agir agir
por por
você você
mas mas
ele ele
só só
vai ir
fazer fazer
se se
você você
entregar entregar
sua seu
vida vida
ele ele
é ser
agora agora
é ser
agora agora
meu meu
chapa chapa
é ser
agora agora
querida querer
e e
agora agora
ficou ficar
tudo tudo
sai sair
do de_o
teu teu
lugar lugar
porque porque
ninguém ninguém
vai ir
te tu
pegar pegar
pelo por_o
brasil brasil
ao a_o
filhinho filho
você você
decide decidir
agora agora
porque porque
você você
está estar
decidindo decidir
a o
eternidade eternidade
eu eu
vou ir
orar orar
por por
essas esse
pessoas pessoa
que que
estão estar
aqui aqui
a o
igreja igreja
vai ir
orar orar
por por
você você
a o
minha meu
oração oração
uma um
coisa coisa
sensacional sensacional
você você
vai ir
falar falar
com com
deus deus
e e
expressando expressar
as o
suas seu
palavras palavra
só só
vou ir
te tu
ensinar ensinar
que que
alguma algum
coisa coisa
a o
oração oração
é ser
uma um
raça raça
que que
todo todo
mundo mundo
faz fazer
igual igual
a o
oração oração
é ser
espontânea espontâneo
só só
tem ter
dado dar
um um
segredo segredo
a a
oração oração
tem ter
que que
ser ser
feito fazer
em em
nome nome
de de
jesus jesus
você você
pode poder
falar falar
pra pra
deus deus
o o
que que
estiver estar
acontecendo acontecer
na em_o
sua seu
vida vida
suas seu
angústias angústia
e e
os o
problemas problema
e e
assim assim
deus deus
eu eu
te tu
peço pedir
em em
nome nome
de de
jesus jesus
final final
da de_o
oração oração
de de
vocês você
de de
deus deus
me eu
perdoe perdoar
me eu
transforme transformar
se se
manifeste manifestar
a a
mim eu
tudo tudo
que que
você você
for ser
falar falar
diga dizer
eu eu
te tu
peço pedir
em em
nome nome
de de
jesus jesus
essa esse
oração oração
que que
deu dar
respondeu responder
vou ir
chegar chegar
às a_o
últimas último
pessoas pessoa
que que
estão estar
chegando chegar
eu eu
vou ir
orar orar
porque porque
a o
obra obra
já já
foi ir
nós nós
vamos ir
terminar terminar
e e
segundo segundo
aleluia aleluia
há haver
uma um
grande grande
vitória vitória
aqui aqui
esta este
noite noite
a o
prova prova
que que
deus deus
está estar
no em_o
controle controle
que que
o o
diabo diabo
perdeu perder
mais mais
uma um
vez vez
estende estender
a o
sua seu
mão mão
de de
direção direção
essas esse
pessoas pessoa
queridas querer
falei falar
com com
deus deus
eu eu
vou ir
orar orar
por por
você você
senhor senhor
eu eu
quero querer
entregar entregar
essas esse
vidas vida
nas em_o
tuas tuas
mãos mão
como como
igreja igreja
nós nós
concordamos concordar
com com
a o
tua tua
vitória vitória
como como
igreja igreja
nós nós
ligamos ligar
na em_o
terra terra
pra pra
ser ser
ligado ligar
no em_o
céu céu
que que
a o
obra obra
do de_o
diabo diabo
caia cair
por por
terra terra
que que
o o
senhor senhor
que que
restaure restaurar
te tu
perdoe perdoar
de de
transformer transformer
te tu
abençoe abençoar
manifeste manifestar
o o
seu seu
poder poder
na em_o
rua rua
a o
vida vida
nós nós
declaramos declarar
que que
você você
é ser
de de
jesus jesus
nós nós
declaramos declarar
a o
bênção bênção
a a
salvação salvação
ea ea
vitória vitória
em em
nome nome
de de
jesus jesus
acredite acreditar
tem ter
mais mais
plaquinha plaquinha
sair sair
atrás atrás
que que
é ser
o o
que que
nós nós
desejamos desejar
pra pra
você você
se se
você você
quiser querer
olhar olhar
ok ok
você você
agora agora
faz fazer
parte parte
da de_o
família família
de de
deus deus
hoje hoje
é ser
dia dia
de de
festa festa
somos ser
um um
ok ok
que que
deus deus
abençoe abençoar
você você
mais mais
um um
minutinho minutinho
só só
quero querer
pedir pedir
a a
você você
é ser
bem bem
rapidinho rápido
eu eu
quero querer
dar dar
um um
livro livro
meu meu
de de
presente presente
pra pra
você você
um um
livro livro
fácil fácil
de de
ler ler
64 64
páginas página
pequenininho pequenino
mas mas
é ser
muito muito
importante importante
para para
a o
sua seu
vida vida
eu eu
vou ir
pedir pedir
a a
você você
é ser
bem bem
rápido rápido
a o
metade metade
vai ir
sair sair
por por
aqui aqui
a a
outra outro
metade metade
por por
lá lá
você você
vai ir
dar dar
seu seu
nome nome
para para
a o
igreja igreja
orar orar
por por
você você
vou ir
te tu
dar dar
um um
livro livro
de de
presente presente
pro pro
pessoal pessoal
e e
vai ir
deliberar deliberar
que que
nós nós
vamos ir
terminar terminar
o o
culto culto
que que
deus deus
abençoe abençoar
você você
ok ok
pode poder
levar levar
à a_o
metade metade
o o
placar placar
pode poder
ser ser
pra pra
cá cá
aplaude aplaudir
aí aí
com com
força força
o o
tema tema
da de_o
nossa nosso
igreja igreja
esse esse
ano ano
é ser
o o
ano ano
de de
manifestar manifestar
a o
fé fé
eu eu
tenho ter
falado falar
pra para_o
igreja igreja
aqui aqui
que que
cristãos cristão
somos ser
nós nós
se se
discute discutir
escute escutar
eu eu
vou ir
falar falar
muito muito
sério sério
a o
gente gente
olha olhar
pra pra
comprar comprar
carro carro
da de_o
compra compra
a o
casa casa
abre abrir
porta porta
de de
emprego emprego
vitória vitória
na em_o
justiça justiça
cura cura
divina divino
restauração restauração
de de
casamento casamento
libertação libertação
de de
filho filho
tá estar
correto correto
não não
tem ter
nada nada
errado errar
mas mas
eu eu
pergunto perguntar
você você
responde responder
qual qual
o o
dia dia
que que
você você
chorou chorar
dizendo dizer
deus deus
me eu
ajude ajudar
eu eu
quero querer
ganhar ganhar
alguém alguém
e e
ver ver
essa esse
pessoa pessoa
descer descer
no em_o
tanque tanque
batismal batismal
mas mas
não não
é ser
só só
olhar olhar
a a
evangelizar evangelizar
falar falar
de de
jesus jesus
que que
cristianismo cristianismo
é ser
esse esse
de de
agente agente
secreto secreto
que que
cristianismo cristianismo
é ser
esse esse
gente gente
não não
tá estar
nem nem
aí aí
para para
as o
aulas aula
e e
os o
relacionamentos relacionamento
família família
trabalho trabalho
colégio colégio
vizinhança vizinhança
pessoas pessoa
que que
interagem interagir
com com
você você
escute escutar
eu eu
vou ir
te tu
falar falar
se se
você você
começar começar
a a
dizer dizer
no em_o
senhor senhor
me eu
dá dar
graça graça
amiga amigar
alguém alguém
evangelizar evangelizar
porque porque
a o
bíblia bíblia
diz dizer
buscai buscai
primeiro primeiro
reino reino
de de
deus deus
e e
todas todo
essas esse
coisas coisa
lhes elas
serão ser
acrescentadas acrescentar
coisas coisa
que que
você você
nem nem
imagina imaginar
do de_o
mundo mundo
material material
e e
emocional emocional
do de_o
mundo mundo
físico físico
vai ir
acontecer acontecer
na em_o
tua tua
vida vida
só só
porque porque
você você
priorizou priorizar
deus deus
é ser
isso isso
que que
os o
crentes crente
não não
entendem entender
comece começar
eu eu
tenho ter
falado falar
com com
os o
membros membro
dessa de_esse
igreja igreja
dessa de_esse
deusa deus
humana humano
não não
senhor senhor
eu eu
quero querer
eu eu
quero querer
ver ver
tess tess
em em
coro coro
por por
uma um
hora hora
o o
senhor senhor
me eu
dá dar
à a_o
caça caça
de de
eu eu
ganhar ganhar
alguém alguém
e e
ajudar ajudar
essa esse
pessoa pessoa
caminhar caminhar
na em_o
fé fé
até até
na em_o
se se
batizar batizar
é ser
um um
desafio desafio
para para
tudo tudo
o o
que que
lembro lembrar
aqui aqui
da de_o
igreja igreja
e e
todo todo
custo custo
aqui aqui
a o
gente gente
faz fazer
uma um
oração oração
específica específico
e e
vou ir
fazer fazer
aqui aqui
agora agora
quem quem
está estar
enfermo enfermo
uma um
enfermidade enfermidade
aqui aqui
na em_o
frente frente
pode poder
ser ser
do de_o
seu seu
lugar lugar
você você
tem ter
ferro ferro
dessa de_esse
galerinha galera
eu eu
vou ir
fazer fazer
uma um
oração oração
e e
nós nós
vamos ir
embora embora
já já
eu eu
quero querer
nada nada
com com
você você
eu eu
não não
sei saber
qual qual
é ser
a o
enfermidade enfermidade
se se
agrave agravar
c c
crônica crônico
100 100
curável curável
mas mas
uma um
coisa coisa
eu eu
sei saber
um um
dos de_o
nomes nome
de de
deus deus
a a
jeová jeová
rafah rafah
o o
senhor senhor
que que
cura curar
e e
quem quem
sabe saber
hoje hoje
é ser
o o
dia dia
da de_o
cura cura
quem quem
sabe saber
hoje hoje
é ser
o o
dia dia
que que
deus deus
vai ir
experience experience
mal mal
do de_o
teu teu
corpo corpo
quem quem
sabe saber
hoje hoje
é ser
o o
dia dia
de de
um um
milagre milagre
agora agora
preste prestar
bastante bastante
atenção atenção
vou ir
deixar deixar
o o
pessoal pessoal
chegar chegar
a a
prestar prestar
atenção atenção
na em_o
minha meu
palavra palavra
e e
nós nós
vamos ir
orar orar
eu eu
vou ir
pedir pedir
o o
povo povo
de de
deus deus
para para
interceder interceder
você você
está estar
curada curar
tá estar
sem sem
problema problema
de de
saúde saúde
igual igual
a a
mim eu
então então
dá dar
graças graças
a a
deus deus
e e
hora hora
porque porque
podia poder
ser ser
para para
já já
pensam pensar
que que
eu eu
vou ir
falar falar
pra pra
vocês você
estão estar
vendo ver
aqui aqui
na em_o
aqui aqui
eu eu
não não
trabalho trabalho
com com
achologia achologia
ou ou
com com
emoções emoção
ae ae
eu eu
sinto sentir
que que
fui ser
curado curar
mas mas
eu eu
tenho ter
um um
remédio remédio
que que
eu eu
não não
posso poder
deixar deixar
de de
tomar tomar
então então
você você
sente sentar
que que
está estar
curado curar
falta faltar
lá lá
no em_o
médico médico
e e
comprova comprovar
pelo por_o
exame exame
que que
você você
está estar
curado curar
para para
você você
parar parar
de de
tomar tomar
o o
remédio remédio
ok ok
estão estar
entendendo entender
procurado procurar
tá estar
bem bem
se se
jesus jesus
cura cura
vocês você
hamas hamas
tomar tomar
o o
remédio remédio
chamado chamado
fazer fazer
o o
tratamento tratamento
e e
também também
vai ir
ser ser
operado operar
mas mas
pra pra
isso isso
tem ter
que que
ser ser
travada travar
eu eu
estou estar
te tu
dando dar
uma um
instrução instrução
que que
tem ter
gente gente
não não
eu eu
sinto sentir
8 8
senti sentir
um um
calor calor
pode poder
ser ser
a o
menopausa menopausa
mas mas
deixa deixar
pra pra
lá lá
o o
andropausa andropausa
na em_o
zona zona
comprove comprovar
que que
quando quando
deus deus
cura cura
está estar
encerrado encerrar
o o
problema problema
não não
não não
tô tô
pedindo pedir
achá achá
-lo ele
jia jia
nenhuma nenhum
uma um
dessas de_esse
orações oração
que que
a o
gente gente
faz fazer
aqui aqui
um um
rapaz rapaz
da de_o
nossa nosso
igreja igreja
estudou estudar
preparou preparar
pra pra
ir ir
pra para_o
escola escola
de de
aviação aviação
da de_o
aeronáutica aeronáutico
aí aí
fez fazer
um um
exame exame
é ser
um um
dos de_o
exames exame
mais mais
rigorosos rigoroso
de de
saúde saúde
olha olhar
a o
área área
foi ser
fazer fazer
um um
exame exame
médico médico
disse dizer
olha olhar
você você
tem ter
tal tal
tonisi tonisi
em em
alto alto
grau grau
vai ir
ser ser
piloto piloto
nem nem
aqui aqui
nem nem
na em_o
china china
além além
de de
teco tecar
teco tecar
nem nem
de de
asa asa
delta delta
ele ele
ficou ficar
decepcionado decepcionado
trechos trecho
mais mais
críticos crítico
da de_o
igreja igreja
o o
sonho sonho
do de_o
rapaz rapaz
ea ea
fazer fazer
a o
prova prova
vai ir
fazer fazer
o o
concurso concurso
é ser
o o
resumo resumo
da de_o
ópera ópera
uma um
dessas de_esse
orações oração
a o
gente gente
olha olhar
aqui aqui
de de
vez vez
em em
quando quando
por por
família família
por por
trabalho trabalho
já já
escolhi escolher
morar morar
por por
cura cura
um um
desses de_esse
aí aí
ele ele
veio vir
aqui aqui
à a_o
frente frente
resumindo resumir
a o
história história
ele ele
está estar
na em_o
escola escola
preparatória preparatória
de de
cadetes cadete
do de_o
ar ar
passou passar
na em_o
prova prova
fez fazer
o o
exame exame
de de
saúde saúde
nada nada
então então
jesus jesus
curou curar
é ser
isso isso
que que
eu eu
quero querer
dizer dizer
pra pra
você você
eu eu
creio crer
eu eu
creio crer
tem ter
coisa coisa
gente gente
como como
é ser
que que
eu eu
vou ir
explicar explicar
o o
mundo mundo
de de
deus deus
você você
vê ver
aqui aqui
à a_o
frente frente
jesus jesus
pode poder
curar curar
agora agora
e e
tem ter
coisas coisa
em em
uma um
semana semana
três três
dias dia
24 24
horas hora
eu eu
cheguei chegar
lá lá
eu eu
não não
sou ser
deus deus
ele ele
manifesta manifestar
o o
seu seu
poder poder
em em
resposta resposta
à a_o
sua seu
fé fé
vocês você
estão estar
aqui aqui
na em_o
frente frente
mãos mão
assim assim
o o
restante restante
do de_o
povo povo
nesse em_esse
sentido sentido
a o
intercessão intercessão
quando quando
eu eu
disse dizer
amém amém
fecha fechar
a o
mão mão
e e
faça fazer
uma um
declaração declaração
eu eu
recebo receber
eu eu
declaro declarar
saúde saúde
ou ou
de de
claro claro
cura cura
em em
nome nome
de de
jesus jesus
fala falar
da de_o
relação relação
que que
você você
quiser querer
mãos mão
abertas aberto
senhor senhor
aqui aqui
está estar
tua tua
igreja igreja
a o
tua tua
palavra palavra
é é
verdade verdade
e e
nós nós
estamos estar
aqui aqui
em em
concordância concordância
de de
baixo baixo
do de_o
poderoso poderoso
nome nome
de de
jesus jesus
não não
a o
enfermidade enfermidade
que que
tem ter
um um
nome nome
maior grande
do de_o
que que
o o
nome nome
de de
jesus jesus
o o
teu teu
nome nome
é ser
sobre sobre
todas todo
as o
coisas coisa
tu tu
és ser
um um
deus deus
que que
está estar
no em_o
controle controle
de de
tudo tudo
isto isto
quiser querer
porque porque
o o
teu teu
nome nome
é ser
já já
e e
num em_um
momento momento
agora agora
seja ser
esse esse
mal mal
debelado debelar
seja ser
repreendido repreender
esse esse
mal mal
do de_o
teu teu
coração coração
do de_o
estômago estômago
dos de_o
rins rim
dos de_o
ossos osso
das de_o
emoções emoção
do de_o
cérebro cérebro
do de_o
ouvido ouvido
do de_o
nariz nariz
da de_o
garganta garganta
ó ó
senhor senhor
um um
fígado fígado
do de_o
baixo baixo
do de_o
pâncreas pâncreas
oz oz
e e
ó ó
em em
qualquer qualquer
área área
nos em_o
nervos nervo
nas em_o
células célula
sai sair
do de_o
s s
mal mal
eu eu
declaro declarar
saúde saúde
no em_o
teu teu
corpo corpo
e e
o o
repreendendo repreender
essa esse
enfermidade enfermidade
nome nome
de de
jesus jesus
recebi receber
a o
cura cura
receba receber
milagre milagre
receba receber
saúde saúde
saias saia
a o
dor dor
seja ser
debelado debelar
esse esse
mal mal
para para
a o
glória glória
de de
deus deus
ea ea
igreja igreja
diga dizer
nem nem
que que
deus deus
te tu
abençoe abençoar
que que
o o
senhor senhor
te tu
guarde guardar
que que
o o
senhor senhor
de de
paz paz
ao a_o
rio rio
de de
janeiro janeiro
trave travar
o o
poder poder
da de_o
violência violência
do de_o
crime crime
organizado organizar
de de
batalharem batalhar
possa poder
desbaratar desbaratar
essa esse
gente gente
que que
os o
anjos anjo
do de_o
senhor senhor
a a
camp camp
sobre sobre
você você
ea ea
tua tua
casa casa
que que
promessas promessa
de de
deus deus
se se
manifesta manifestar
na em_o
sua seu
vida vida
que que
janelas janela
dos de_o
céus céu
sejam ser
abertas aberto
que que
milagres milagre
aconteçam acontecer
a o
graça graça
de de
nosso nosso
senhor senhor
e e
salvador salvador
jesus jesus
cristo cristo
grande grande
amor amor
de de
deus deus
as o
consolações consolação
do de_o
espírito espírito
santo santo
sejam ser
sobre sobre
todos todo
e e
todos todo
digam dizer
amém amém
vá ir
em em
paz paz
se se
quiser querer
domingo domingo
96 @card@
18 18
e e
30 30
vêm vir
aqui aqui
tem ter
uma um
palavra palavra
de de
deus deus
pra pra
você você
deus deus
te tu
abençoe abençoar
