oséias oséias
conhecimento conhecimento
de de
deus deus
padrões padrão
verdadeira verdadeiro
libertação libertação
a a
eu eu
não não
sei saber
se se
eles eles
é ser
que que
se se
lembra lembrar
daquele de_aquele
professor professor
que que
gostava gostar
de de
botar botar
uma um
frase frase
no em_o
quadro quadro
e e
depois depois
da de_o
aula aula
aí aí
um um
dia dia
ele ele
botou botar
assim assim
vira ver
pra para_o
classe classe
assim assim
pra pra
mim eu
aí aí
pastou pastou
votar votar
um um
texto texto
aqui aqui
em em
ver ver
se se
eu eu
tô tô
certo certo
joão joão
8 8
32 32
e e
conhecereis conhecer
a o
verdade verdade
ea ea
verdade verdade
vos vós
libertará libertar
toque toque
eu eu
falei falar
o o
texto texto
tá estar
mas mas
continua continuar
eu eu
quero querer
ver ver
o o
que que
vai ir
falar falar
ele ele
botou botar
o o
texto texto
e e
conhecereis conhecer
a o
verdade verdade
ea ea
verdade verdade
vos vós
libertará libertar
aí aí
começou começar
a a
falar falar
a o
verdade verdade
de de
floyd floyd
de de
eric eric
from from
my my
fala falar
das de_o
correntes corrente
e e
as o
posturas postura
das de_o
ciências ciência
humanas humano
de de
lacan lacan
eu eu
tô tô
falando falar
de de
um um
de de
outro outro
falar falar
de de
cristo cristo
de de
passagem passagem
quando quando
ele ele
acabou acabar
ele ele
falou falar
e e
aí aí
eu eu
falei falar
olha olhar
você você
pra pra
herege herege
não não
falta faltar
nada nada
ele ele
falou falar
porque porque
porque porque
tem ter
um um
princípio princípio
na em_o
hermenêutica hermenêutica
até até
a o
ciência ciência
da de_o
interpretação interpretação
da de_o
bíblia bíblia
que que
texto texto
sem sem
contexto contexto
é ser
pretexto pretexto
para para
heresia heresia
é ser
que que
você você
esqueceu esquecer
do de_o
36 36
se se
só só
houvesse haver
um um
versículo versículo
32 32
a o
verdade verdade
de de
lacan lacan
dierick dierick
from from
the the
frog frog
de de
jesus jesus
está estar
no em_o
mesmo mesmo
nível nível
mas mas
o o
versículo versículo
36 36
assim assim
se se
pois pois
o o
filho filho
vos vós
libertar libertar
verdadeiramente verdadeiramente
sereis ser
livres livre
aí aí
a a
ele ele
disse dizer
daí de_aí
e e
daí de_aí
que que
todas todo
as o
verdades verdade
são ser
relativas relativo
a o
única único
verdade verdade
absoluta absoluto
chama chamar
se se
chama chamar
jesus jesus
cristo cristo
ó ó
o o
que que
é ser
o o
que que
é ser
e e
eu eu
vou ir
terminando terminar
já já
que que
o o
conhecimento conhecimento
das de_o
produções produção
escutar escutar
essa esse
gente gente
joão joão
17 17
3 3
a o
vida vida
eterna eterno
é ser
esta este
que que
te tu
conheçam conhecer
a a
ti tu
com com
um um
único único
deus deus
verdadeiro verdadeiro
jesus jesus
cristo cristo
a a
quem quem
enviar enviar
conhecimento conhecimento
de de
deus deus
produz produzir
a o
vida vida
eterna eterno
você você
não não
foi ser
feito fazer
para para
viver viver
60 60
50 50
e e
70 70
anos ano
você você
é ser
eterno eterno
e e
quando quando
você você
conhece conhecer
deus deus
e e
cristo cristo
é ser
o o
conhecimento conhecimento
dele de_ele
vem vir
te tu
levar levar
para para
a o
eternidade eternidade
agora agora
vou ir
terminar terminar
fazendo fazer
aqui aqui
uma um
conjetura conjetura
eu eu
vou ir
terminar terminar
o o
cristianismo cristianismo
é ser
que que
mudou mudar
o o
mundo mundo
ocidental ocidental
as o
culturas cultura
mais mais
avançadas avançar
do de_o
mundo mundo
as o
nações nação
mais mais
prósperas próspero
do de_o
mundo mundo
a o
matriz matriz
foi ser
o o
cristianismo cristianismo
estados estado
unidos unir
inglaterra inglaterrar
canadá canadá
noruega noruega
suécia suécia
holanda holanda
alemanha alemanha
e e
vai ir
por por
aí aí
afora afora
pra pra
mim eu
não não
é ser
religião religião
mas mas
eu eu
vou ir
entrar entrar
na em_o
discussão discussão
das de_o
pessoas pessoa
o o
cristianismo cristianismo
é ser
reino reino
de de
deus deus
nós nós
vamos ir
analisar analisar
como como
religião religião
o o
cristianismo cristianismo
é ser
a o
única único
religião religião
que que
tem ter
a o
palavra palavra
grassa grasso
a a
cáries cárie
de de
deus deus
isso isso
é ser
o o
favor favor
de de
benevolência benevolência
amoroso amoroso
e e
merecido merecer
de de
deus deus
para para
com com
os o
homens homem
você você
mereceu merecer
o o
inferno inferno
tá estar
perdoado perdoar
graça graça
você você
merecia merecer
ser ser
condenado condenar
tá estar
liberado liberar
grande grande
não não
vou ir
pagar pagar
nada nada
não não
as o
religiões religião
você você
tem ter
que que
fazer fazer
alguma algum
coisa coisa
pra pra
pagar pagar
o o
seu seu
pecado pecado
você você
tem ter
que que
passar passar
por por
algum algum
processo processo
e e
purificação purificação
o o
pessoal pessoal
ou ou
algum algum
processo processo
que que
envolva envolver
o o
estoque estoque
mais mais
pra pra
você você
se se
purificado purificar
o o
cristianismo cristianismo
não não
não não
há haver
nada nada
e e
nem nem
você você
para para
que que
deus deus
nos em_o
perdoar perdoar
se se
nos em_o
hamas hamas
graça graça
maravilhosa maravilhoso
graça graça
incomparável incomparável
graça graça
agora agora
calma calmo
a o
pergunta pergunta
é ser
se se
o o
clichê clichê
niju niju
que que
é ser
o o
paradigma paradigma
do de_o
mundo mundo
ocidental ocidental
tira tirar
o o
cristianismo cristianismo
do de_o
mundo mundo
ocidental ocidental
para para
ver ver
o o
que que
sobra sobrar
é ser
o o
que que
eu eu
dei dar
que que
rolou rolar
quando quando
eu eu
vim vir
falar falar
com com
os o
esquerdopatas esquerdopatas
e e
os o
petralhas petralhas
ea ea
turma turma
da de_o
esquerda esquerda
tira tirar
o o
cristianismo cristianismo
para para
ver ver
o o
que que
sobra sobrar
tira tira
max max
do de_o
acidente acidente
não não
tem ter
costinha coster
não não
falar falar
nada nada
agora agora
tira tirar
max max
das de_o
nações nação
onde onde
a o
ideologia ideologia
dele de_ele
predominou predominar
que que
é ser
uma um
libertação libertação
a o
pergunta pergunta
é ser
essa esse
porque porque
o o
islamismo islamismo
cresce crescer
mais mais
do de_o
que que
o o
cristianismo cristianismo
aí aí
vem vir
algum algum
irmão irmão
teologicamente teologicamente
para para
justificar justificar
disse dizer
pastor pastor
a o
bíblia bíblia
fala falar
que que
é ser
o o
caminho caminho
largo largo
e e
se se
faz fazer
o o
zouk zouk
muitos muito
entrou entrar
por por
ele ele
' '
e e
há haver
um um
caminho caminho
estreito estreito
aleluia aleluiar
ó ó
que que
conduz conduzir
à a_o
vida vida
normalmente normalmente
mais mais
intimamente intimamente
atua atuar
teologia teologia
pra pra
isso isso
pra para_o
furada furado
você você
dizer dizer
que que
o o
islamismo islamismo
é ser
porta porta
larga largo
será ser
preciso preciso
conhecer conhecer
um um
pouco pouco
a a
tecnologia tecnologia
dele de_ele
o o
islamismo islamismo
não não
é ser
o o
vale vale
tudo tudo
faz fazer
o o
que que
você você
quer querer
o o
que que
você você
deseja desejar
ao a_o
contrário contrário
têm ter
rigidez rigidez
violenta violento
então então
a o
pergunta pergunta
é ser
por por
que que
o o
islamismo islamismo
cresce crescer
mais mais
do de_o
que que
o o
cristianismo cristianismo
porque porque
tanto tanto
o o
islamismo islamismo
eo eo
cristianismo cristianismo
são ser
religiões religião
tô tô
falando falar
a a
nível nível
de de
religião religião
não não
entram entrar
nem nem
reino reino
de de
deus deus
monoteístas monoteísta
acreditam acreditar
no em_o
deus deus
porque porque
eu eu
vou ir
beber beber
um um
pouquinho pouco
daí de_aí
vou ir
te tu
explicar explicar
aguça aguçar
seu seu
ouvido ouvido
o o
islamismo islamismo
vai ir
do de_o
radical radical
para para
o o
mais mais
radical radical
não não
existe existir
uma um
vertente vertente
do de_o
islamismo islamismo
que que
negocia negociar
quebrar quebrar
princípios princípio
do de_o
alcorão alcorão
não não
tem ter
uma um
todas todo
as o
correntes corrente
do de_o
islamismo islamismo
elas ele
trabalham trabalhar
em em
aplicação aplicação
radical radical
ou ou
mais mais
radical radical
do de_o
islamismo islamismo
nenhuma nenhum
negocia negociar
a o
frouxidão frouxidão
com com
a o
lei lei
do de_o
islamismo islamismo
olha olhar
o o
que que
estão estar
fazendo fazer
com com
o o
cristianismo cristianismo
aguça aguçar
te tu
ouvir ouvir
discuta discutir
eu eu
vou ir
começar começar
a a
falar falar
aqui aqui
do de_o
público público
porque porque
é ser
fácil fácil
apontar apontar
o o
dedo dedo
pra pra
vocês você
que que
eu eu
tô tô
com com
microfone microfone
na em_o
mão mão
ea ea
bíblia bíblia
mostra mostrar
cláusulas cláusula
de de
exceção exceção
têm ter
pastor pastor
no em_o
púlpito púlpito
no em_o
terceiro terceiro
e e
quarto quarto
casamento casamento
pastor pastor
[ [
Risadas risada
] _
bastou bastar
nós nós
estamos estar
negociando negociar
com com
o o
inegociável inegociável
uma um
coisa coisa
é ser
o o
cara cara
que que
vem vir
lá lá
de de
fora fora
escute escutar
com com
atenção atenção
a a
diesel diesel
com com
10 10
mulheres mulher
vou ir
radicalizar radicalizar
tem ter
um um
filho filho
com com
cada cada
mulher mulher
aceitou aceitar
a a
cristo cristo
esse esse
passado passado
não não
interessa interessar
não não
estou estar
falando falar
isso isso
não não
estou estar
falando falar
o o
cara cara
que que
casa casa
na em_o
igreja igreja
foi ser
criado criar
na em_o
igreja igreja
com com
essa esse
menina menina
na em_o
igreja igreja
a o
garota garota
crente crente
é ser
crendice crendice
casa casa
daqui de_aqui
a a
três três
meses mês
forçando forçar
e e
está estar
casando casar
conta conta
da de_o
igreja igreja
tão tão
esculhambando esculhambandar
com com
o o
cristianismo cristianismo
agora agora
um um
cara cara
um um
desses de_esse
casado casado
pela por_o
terceira terceiro
vez vez
resolveu resolver
cantar cantar
uma um
música música
de de
inpe inpe
no em_o
culto culto
de de
que que
ele ele
é ser
obra obra
do de_o
acaso acaso
é ser
obra obra
do de_o
acaso acaso
a o
igreja igreja
moderna moderno
na em_o
inaugura inaugurar
em em
nova novo
york york
e e
vem vir
um um
cara cara
de de
cueca cueca
com com
a o
guitarra guitarra
canta cantar
mil mil
ac ac
milan milan
eu eu
não não
sou ser
imbecil imbecil
eu eu
não não
sou ser
quadrado quadrado
eu eu
se se
a o
diferença diferença
de de
costume costume
para para
a o
doutrina doutrina
nós nós
estamos estar
negociando negociar
os o
fundamentos fundamento
do de_o
cristianismo cristianismo
não não
vem vir
da de_o
igreja igreja
se se
você você
tapando tapar
uma um
garota garota
ou ou
se se
você você
está estar
tendo ter
um um
caso caso
com com
alguém alguém
assim assim
mesmo mesmo
você você
era ser
assim assim
você você
antigamente antigamente
não não
tinha ter
marido marido
não não
tinha ter
esposa esposo
vivia viver
de de
relacionamentos relacionamento
aceita aceitar
crise crise
e e
tem ter
uma um
concessão concessão
para para
você você
é ser
prostituição prostituição
meu meu
filho filho
essa esse
palavra palavra
ok ok
a a
eu eu
namorei namorar
um um
dentro dentro
da de_o
igreja igreja
ficou ficar
três três
meses mês
e e
4 4
aí aí
teve ter
relação relação
sexual sexual
mas mas
não não
gostou gostar
muito muito
despachou despachar
que que
não não
deu dar
certo certo
vai ir
pra pra
outro outro
fica ficar
três três
quatro quatro
cinco cinco
meses mês
de de
intimidade intimidade
sexual sexual
como como
direito direito
tá estar
pensando pensar
isso isso
aqui aqui
é ser
o o
que que
o o
cristianismo cristianismo
é ser
renan renan
c c
a a
si se
mesmo mesmo
tome tomar
sua seu
cruz cruz
e e
siga seguir
me eu
o o
camarada camarada
tá estar
dentro dentro
da de_o
igreja igreja
adultério adultério
e e
continuando continuar
o o
cara cara
de de
pau pau
tomando tomar
c&amp c&amp
; ;
a a
e e
agora agora
querem querer
inventar inventar
a o
igreja igreja
de de
gay gay
igreja igreja
evangélica evangélico
ganha ganhar
uma um
banana banana
que que
conversa conversa
é ser
essa esse
vamos ir
ter ter
agora agora
disse dizer
um um
jornalista jornalista
ou ou
é ser
porque porque
pastor pastor
porque porque
eu eu
sou ser
diz dizer
que que
a o
igreja igreja
não não
pode poder
ser ser
manchado manchar
que que
diga dizer
como como
fazer fazer
a o
igreja igreja
das de_o
prostitutas prostituta
gostam gostar
vão ir
fazer fazer
a o
igreja igreja
dos de_o
assassinos assassino
quartel quartel
vamos ir
fazer fazer
a o
igreja igreja
dos de_o
ladrões ladrão
gostam gostar
vamos ir
fazer fazer
a o
igreja igreja
dos de_o
corruptos corrupto
gosto gostar
você você
não não
gosta gostar
o o
cristianismo cristianismo
tem ter
princípio princípio
eu eu
não não
tem ter
nada nada
a a
ver ver
com com
a o
cultura cultura
de de
fora fora
o o
cristianismo cristianismo
é ser
uma um
conta conta
cultura cultura
cultura cultura
do de_o
mundo mundo
o o
problema problema
é ser
que que
o o
cristianismo cristianismo
tá estar
quebrando quebrar
os o
fundamentos fundamento
dele de_ele
terman terman
que que
fala falar
que que
paulo paulo
era ser
machista machista
também também
não não
é ser
um um
contínuo contínuo
porque porque
pode poder
dizer dizer
-se se
mulheres mulher
obedecer obedecer
a a
vossos vosso
maridos marido
e e
ela ela
se se
esqueceram esquecer
da de_o
coisa coisa
mais mais
violenta violento
aqui aqui
que que
paulo paulo
fala falar
para para
o o
marido marido
marido marido
samae samae
vossas vossas
mulheres mulher
assim assim
como como
cris cris
tomou tomar
a o
igreja igreja
se se
entregou entregar
por por
ela ela
eu eu
nunca nunca
li ler
na em_o
bíblia bíblia
que que
a o
mulher mulher
tem ter
que que
dar dar
a o
vida vida
pelo por_o
marido marido
mas mas
a o
minha meu
irmã irmã
do de_o
homem homem
da de_o
vida vida
pela por_o
mulher mulher
ea ea
bíblia bíblia
mandou mandar
o o
homem homem
ea ea
mulher mulher
com com
amor amor
de de
cristo cristo
sabe saber
o o
que que
é ser
amor amor
de de
cristo cristo
amor amor
de de
sacrifício sacrifício
é ser
o o
amor amor
que que
se se
doa doer
ou ou
tem ter
alguém alguém
aqui aqui
que que
se se
acha achar
violentado violentar
pelo por_o
amor amor
de de
jesus jesus
e e
tem ter
alguém alguém
aqui aqui
que que
tem ter
problema problema
de de
obedecer obedecer
a a
cristo cristo
o o
que que
deus deus
pede pedir
à a_o
mulher mulher
coisa coisa
mais mais
difícil difícil
ela ela
fazer fazer
o o
que que
deus deus
pede pedir
uma um
coisa coisa
mais mais
para para
fazer fazer
mas mas
nós nós
estamos estar
não não
fala falar
sobre sobre
isso isso
não não
porque porque
vai ir
pegar pegar
mal mal
isso isso
é ser
machista machista
você você
dizer dizer
que que
mulher mulher
tem ter
que que
obedecer obedecer
ao a_o
marido marido
é ser
isso isso
é ser
uma um
coisa coisa
que que
a o
sociedade sociedade
não não
entende entender
não não
aceita aceitar
iguais igual
então então
estamos estar
reinventando reinventar
o o
cristianismo cristianismo
quebrando quebrar
dogmas dogma
quebrando quebrar
paradigmas paradigma
quebrando quebrar
doutrina doutrina
para para
nos nós
adaptar adaptar
ao a_o
mundo mundo
e e
aí aí
o o
cristianismo cristianismo
perde perder
o o
seu seu
poder poder
o o
seu seu
valor valor
porque porque
as o
pessoas pessoa
vêm vir
para para
jesus jesus
se se
elas ele
podem poder
continuar continuar
do de_o
mesmo mesmo
jeito jeito
lá lá
fora ser
a o
sociedade sociedade
tem ter
arrancado arrancar
um um
homem homem
do de_o
seu seu
lugar lugar
de de
autoridade autoridade
o o
homem homem
está estar
perdido perder
sem sem
prova prova
tem ter
estudos estudo
violência violência
doméstica doméstico
homem homem
suicídio suicídio
homem homem
homicídio homicídio
o o
homem homem
porque porque
o o
homem homem
está estar
perdido perder
no em_o
islamismo islamismo
ele ele
é ser
forte forte
do de_o
cristianismo cristianismo
de de
um um
panaca panaca
o o
cristianismo cristianismo
e e
levou levar
a o
mulher mulher
melão melão
cristianismo cristianismo
e e
levou levar
a o
mulher mulher
foi ser
cristo cristo
que que
levou levar
a o
mulher mulher
cristiane cristiane
a a
pisar pisar
na em_o
cabeça cabeça
da de_o
mulher mulher
não não
tinha ter
autoridade autoridade
para para
pisar pisar
na em_o
bola bola
não não
como como
eles eles
fazem fazer
lá lá
o o
cristianismo cristianismo
eleva elevar
a o
posição posição
da de_o
mulher mulher
mas mas
também também
dá dar
uma um
posição posição
homem homem
é ser
um um
princípio princípio
organizacional organizacional
incrível incrível
autoridade autoridade
da de_o
copa copa
mas mas
adivinha adivinhar
quem quem
edifica edificar
autoridade autoridade
do de_o
homem homem
a o
mulher mulher
sábia sábio
edifica edificar
a o
sua seu
casa casa
quem quem
edifica edificar
autoridade autoridade
minha meu
mulher mulher
então então
significa significar
que que
a o
mulher mulher
pode poder
solapar solapar
a o
autoridade autoridade
de de
um um
homem homem
o o
machão macho
se se
a o
tua tua
mulher mulher
quiser querer
te tu
derruba derrubar
por por
isso isso
que que
essas esse
duas dois
coisas coisa
têm ter
que que
andar andar
junta junta
autoridade autoridade
do de_o
homem homem
se se
completa completar
no em_o
poder poder
de de
edificação edificação
da de_o
mulher mulher
o o
poder poder
de de
indicação indicação
do de_o
lecce lecce
completo completo
na em_o
verdade verdade
do de_o
homem homem
mas mas
notamos notar
como como
um um
bando bando
com com
cristianismo cristianismo
casas casa
e e
para para
igual igual
tia tio
jô jô
soares soar
um um
programa programa
antigo antigo
casas casa
separadas separado
e e
para para
casa casa
a o
casa casa
prepara preparar
se se
para para
casa casa
a o
casa casa
da de_o
igreja igreja
aquilo aquilo
que que
a o
cláusula cláusula
sessão sessão
virou virar
normalidade normalidade
gostou gostar
de de
manhã manhã
de de
acordo acordo
com com
essa esse
mulher mulher
com com
hálito hálito
danada danar
e e
o o
teu teu
miserável miserável
você você
tinha ter
vida vida
sexual sexual
ativa ativo
lá lá
fora fora
vem vir
pra pra
jesus jesus
bota bota
água água
gelada gelar
na em_o
cabeça cabeça
segura seguro
a o
onda onda
você você
é ser
a o
mulher mulher
pede pedir
a a
deus deus
um um
príncipe príncipe
você você
é ser
um um
homem homem
pede pedir
uma um
princesa princesa
que que
deus deus
vai ir
te tu
dar dar
mais mais
segura seguro
a o
onda onda
porque porque
a o
sexualidade sexualidade
tem ter
fez fazer
foi ser
deus deus
mas mas
ele ele
estabeleceu estabelecer
o o
princípio princípio
você você
quer querer
que que
a o
vida vida
cristã cristão
real real
então então
sexualidade sexualidade
no em_o
casamento casamento
fora fora
dele de_ele
é ser
pecado pecar
eu eu
queria querer
anunciar anunciar
aqui aqui
para para
alguns algum
estão estar
pensando pensar
isso isso
eu eu
quero querer
ficar ficar
dando dar
à a_o
igreja igreja
do de_o
mundo mundo
senão senão
o o
cara cara
de de
pau pau
anos ano
já já
ninguém ninguém
sabe saber
ou ou
então então
se se
alguém alguém
sabe saber
não não
tô tô
vendo ver
um um
dano dano
à a_o
igreja igreja
do de_o
trambique trambique
dando dar
trambique trambique
na em_o
maior grande
cara cara
de de
pau pau
ajeitou ajeitar
leandro leandro
fazendo fazer
graça graça
da de_o
igreja igreja
enganando enganar
os o
outros outro
eu eu
fui ser
pegar pegar
um um
dos de_o
maiores grande
congressos congresso
pentecostais pentecostal
que que
tem ter
nesse em_esse
país país
onde onde
o o
povão povo
da de_o
black black
e e
hawai hawai
eu eu
fui ser
convidado convidar
pra pra
pegar pegar
lá lá
trezentas trezentas
mil mil
pessoas pessoa
tinha ter
uma um
banca banca
enorme enorme
do de_o
meu meu
material material
o o
coordenador coordenador
do de_o
congresso congresso
chegou chegar
pra pra
mim eu
assim assim
o o
pastor pastor
vou ir
te tu
dar dar
uma um
dica dica
só só
vem vir
de de
material material
com com
dinheiro dinheiro
ou ou
cartão cartão
nada nada
de de
receber receber
cheques cheque
aí aí
eu eu
dei dar
uma um
de de
bobo bobo
que que
eu eu
queria querer
na em_o
corda corda
foi ser
não não
tô tô
entendendo entender
é ser
só só
entender entender
não não
se se
o o
senhor senhor
recebeu receber
cheque cheque
tudo tudo
bate bater
sem sem
fundo fundo
a a
imóvel imóvel
eu eu
queria querer
que que
ele ele
fizesse fazer
isso isso
eu eu
falei falar
eu eu
tô tô
num em_um
congresso congresso
de de
bandidos bandido
de de
índios índio
eu eu
estou estar
no em_o
congresso congresso
do de_o
povo povo
de de
deus deus
que que
vergonha vergonha
cadê cadê
o o
caráter caráter
ela ela
na em_o
igreja igreja
tem ter
cabelão cabelo
tem ter
saiam sair
ou ou
fala falar
a o
língua língua
estranha estranho
profetiza profetizar
pode poder
viver viver
na em_o
bagunça bagunça
cumprir cumprir
uma um
meia meio
dúzia dúzia
de de
regras regra
de de
toque toque
mas mas
denominacionais denominacional
heranças herança
está estar
pecando pecar
no em_o
interessa interessar
trambiqueiro trambiqueiro
nós nós
estamos estar
abrindo abrir
concessão concessão
e e
esculhambando esculhambandar
com com
o o
cristianismo cristianismo
os o
obreiros obreiro
aqui aqui
sabe saber
de de
vez vez
em em
quando quando
dou dar
uma um
ordem ordem
na em_o
reunião reunião
de de
obreiros obreiro
fulano fulano
não não
canta cantar
aqui aqui
no em_o
nosso nosso
campo campo
beltrano beltrano
não não
prega pregar
e e
faço fazer
questão questão
para para
saber saber
não não
é ser
a o
reunião reunião
com com
mil mil
eu eu
sei saber
que que
alguém alguém
vai ir
levar levar
isso isso
quem quem
tem ter
agenda agenda
amanhã amanhã
pode poder
cancelar cancelar
porque porque
na em_o
hora hora
que que
o o
órgão órgão
vem vir
aqui aqui
aí aí
até até
um um
negócio negócio
de de
fofoca fofoca
agosto agosto
voltou voltar
quem quem
não não
canta cantar
nada nada
e e
vec vec
quem quem
não não
canta cantar
nada nada
é ser
que que
vai ir
saber saber
por por
que que
não não
canta cantar
vai ir
ver ver
eu eu
tenho ter
um um
defeito defeito
eu eu
sou ser
limitado limitar
também também
perto perto
mas mas
eu eu
não não
tô tô
falando falar
disso de_isso
eu eu
tô tô
falando falar
em em
ser ser
conivente conivente
com com
o o
pecado pecado
e e
conhecereis conhecer
a o
verdade verdade
ea ea
verdade verdade
vos vós
libertará libertar
o o
conhecimento conhecimento
da de_o
verdade verdade
que que
a o
palavra palavra
é ser
que que
nos nós
liberta libertar
do de_o
poder poder
do de_o
pecado pecado
e e
os o
faz fazer
ter ter
uma um
vida vida
sã são
o o
meu meu
povo povo
foi ser
destruído destruir
porque porque
lhe ele
faltou faltar
isso isso
é ser
muito muito
sério sério
meu meu
irmão irmão
eu eu
estou estar
aqui aqui
como como
um um
profeta profeta
de de
deus deus
na em_o
sua seu
vida vida
olha olhar
com com
quem quem
tem ter
os o
filhos filho
estão estar
andando andar
olha olhar
o o
conhecimento conhecimento
e e
informação informação
que que
seus seu
filhos filho
estão estar
recebendo receber
olha olhar
a o
informação informação
que que
você você
está estar
recebendo receber
cuidado cuidado
faltou faltar
conhecimento conhecimento
à a_o
igreja igreja
de de
pé pé
só só
um um
minutinho minutinho
antes antes
de de
você você
sair sair
só só
um um
minutinho minutinho
eu eu
vou ir
terminar terminar
o o
culto culto
mas mas
quem quem
sabe saber
não não
é ser
a o
minha meu
verdade verdade
não não
é ser
minha meu
igreja igreja
o o
que que
liberta libertar
você você
é ser
a o
verdade verdade
que que
é ser
jesus jesus
que que
transforma transformar
liberty liberty
muda mudar
a o
vida vida
de de
um um
homem homem
o o
evangelho evangelho
é ser
lindo lindo
porque porque
ele ele
transforma transformar
o o
ser ser
humano humano
é ser
um um
ser ser
humano humano
melhor bom
com com
vida vida
abundante abundante
quem quem
sabe saber
aqui aqui
esta este
noite noite
tem ter
algum algum
amigo amigo
quem quem
sabe saber
tem ter
alguém alguém
afastado afastar
do de_o
evangelho evangelho
por por
causa causa
do de_o
pecado pecado
e e
hoje hoje
você você
quer querer
voltar voltar
pra pra
jesus jesus
quem quem
sabe saber
um um
amigo amigo
que que
tenha ter
fome fome
sede sede
da de_o
verdade verdade
na em_o
verdade verdade
não não
sou ser
eu eu
na em_o
verdade verdade
não não
é ser
o o
papa papa
na em_o
verdade verdade
a a
minha meu
religião religião
a o
verdade verdade
jesus jesus
você você
chegou chegar
no em_o
lugar lugar
onde onde
a o
verdade verdade
pode poder
transformar transformar
você você
em em
libertar libertar
você você
quebrar quebrar
cadeiras cadeira
na em_o
tua tua
perdoai perdoar
os o
pecados pecado
e e
mudar mudar
a o
sua seu
vida vida
para para
uma um
vida vida
melhor bom
quem quem
sabe saber
essa esse
noite noite
tem ter
alguém alguém
aqui aqui
que que
ter ter
um um
encontro encontro
com com
a o
verdade verdade
que que
jesus jesus
ou ou
quem quem
sabe saber
alguém alguém
aqui aqui
esta este
noite noite
que que
conhece conhecer
a o
verdade verdade
mas mas
tá estar
longe longe
dela de_ela
porque porque
quem quem
vive viver
no em_o
pecado pecado
está estar
longe longe
da de_o
verdade verdade
mas mas
eu eu
não não
vim vir
aqui aqui
te tu
acusar acusar
eu eu
vim vir
aqui aqui
dizer dizer
que que
há haver
uma um
porta porta
aberta abrir
pra pra
você você
que que
o o
deus deus
de de
vontade vontade
de de
misericórdia misericórdia
está estar
aqui aqui
esta este
noite noite
para para
perdoar perdoar
os o
pecados pecado
para para
transformar transformar
tua tua
vida vida
pra pra
mudar mudar
sua seu
história história
para para
melhor melhor
a o
única único
coisa coisa
que que
eu eu
posso poder
fazer fazer
com com
essa esse
igreja igreja
orar orar
por por
você você
quem quem
sabe saber
tem ter
alguém alguém
aqui aqui
que que
entregar entregar
a o
vida vida
cristo cristo
ou ou
quem quem
sabe saber
tem ter
alguém alguém
que que
quer querer
voltar voltar
pra pra
jesus jesus
eu eu
quero querer
lá lá
por por
ninguém ninguém
vai ir
pegar pegar
você você
pelo por_o
braço braço
é ser
voluntário voluntário
é ser
pessoal pessoal
se se
você você
quer querer
eu eu
quero querer
convidar convidar
você você
a a
sair sair
de de
onde onde
você você
está estar
chegar chegar
aqui aqui
na em_o
frente frente
que que
eu eu
quero querer
falar falar
com com
você você
tivemos ter
até até
medo medo
nem nem
vergonha vergonha
de de
nada nada
deus deus
sabe saber
tudo tudo
a a
teu teu
respeito respeito
deus deus
conhece conhecer
o o
que que
vai ir
na em_o
tua tua
alma alma
deus deus
sabe saber
tudo tudo
que que
está estar
acontecendo acontecer
com com
você você
e e
deus deus
tem ter
as o
saídas saída
da de_o
vida vida
tem ter
alguém alguém
essa esse
noite noite
que que
quer querer
entregar entregar
a o
vida vida
para para
ter ter
êxito êxito
tem ter
alguém alguém
essa esse
noite noite
que que
quer querer
voltar voltar
à a_o
casa casa
do de_o
pai pai
se se
tem ter
saído sair
do de_o
seu seu
lugar lugar
dessa de_esse
licença licença
onde onde
você você
está estar
vem vir
aqui aqui
na em_o
frente frente
não não
quero querer
falar falar
por por
você você
eu eu
sei saber
que que
aqui aqui
tem ter
gente gente
mas mas
nem nem
deus deus
obriga obrigar
que que
eu eu
também também
não não
nem nem
quem quem
sai sair
do de_o
teu teu
lado lado
briga brigar
porque porque
a o
decisão decisão
é ser
pessoal pessoal
a o
verdade verdade
é ser
jesus jesus
querido querer
você você
está estar
a a
viver viver
no em_o
pecado pecado
eu eu
quero querer
dizer dizer
que que
o o
salário salário
do de_o
pecado pecado
é ser
a o
morte morte
o o
resultado resultado
por por
uma um
vida vida
de de
pecado pecado
é ser
a o
condenação condenação
isso isso
é ser
muito muito
sério sério
aqui aqui
esta este
noite noite
tem ter
gente gente
que que
conhece conhecer
o o
evangelho evangelho
mas mas
você você
está estar
afastado afastar
deus deus
te tu
trouxe trazer
aqui aqui
pra pra
você você
voltar voltar
pra pra
jesus jesus
hoje hoje
que que
deus deus
manda mandar
dizer dizer
que que
ele ele
tem ter
uma um
grande grande
obra obra
na em_o
sua seu
vida vida
mas mas
ele ele
só só
pode poder
fazer fazer
se se
você você
voltar voltar
pra pra
ele ele
' '
você você
quer querer
venha vir
venha vir
orar orar
por por
você você
deus deus
abençoe abençoar
deus deus
abençoe abençoar
meu meu
filho filho
dessa de_esse
doença doença
e e
querido querer
a o
toca toca
amor amor
jesus jesus
e e
dom dom
o o
livro livro
eu eu
gostaria gostar
de de
dizer dizer
que que
o o
evangelho evangelho
não não
é ser
parque parque
da de_o
disney disney
eu eu
gostaria gostar
de de
informar informar
que que
o o
evangelho evangelho
